id,car_variant,odometer_reading,vehicle_fuel_type,vehicle_make,vehicle_model,city,car_valuation,months_since_manufactured
705,WAGON R VXI,,PETROL,MARUTI,WAGON R VXI,HYDERABAD,394099,9
279,E MPI STD BSIV,21795.0,PETROL,MARUTI,OMNI,SALEM,281400,6
536,S CNG,6209.0,PETROL + CNG,HYUNDAI,AURA,PALWAL,849900,1
507,1.5 DIESEL TITANIUM,59789.0,DIESEL,FORD,ECOSPORT,THANE,741106,7
216,MAGNA 1 2 M,,PETROL,HYUNDAI,I10,TIRUVALLUR,301499,11
740,5 SEATER AC,67624.0,PETROL + CNG,MARUTI,EECO,FARIDABAD,440167,5
369,XF 3 0L PREMIUM LUXURY,80104.0,DIESEL,JAGUAR,XF,CHENNAI,2906800,10
215,SIGMA,65052.0,PETROL,MARUTI,BALENO,LUCKNOW,508663,6
406,S6 7 SEATER,,DIESEL,MAHINDRA,MAHINDRA SCORPIO S6+ 1.99IH2WD,NEW DELHI,564280,7
512,7 SEATER STD,43247.0,PETROL,MARUTI,EECO,GHAZIABAD,489200,2
464,1.6 CR MT HIGHLINE,,DIESEL,VOLKSWAGEN,VENTO,COIMBATORE,580555,10
683,SLX,152193.0,DIESEL,MAHINDRA,BOLERO POWER PLUS,SALEM,712041,6
733,W7,66266.0,DIESEL,MAHINDRA,XUV500,TIRUPPUR,1388959,6
129,VXI CNG,54665.0,PETROL + CNG,MARUTI,CELERIO,PALWAL,633000,3
315,1.2 MPI COMFORTLINE,73939.0,DIESEL,VOLKSWAGEN,POLO,KANCHIPURAM,626637,8
100,I VTEC CVT VX,62425.0,PETROL,HONDA,CITY,NAGPUR,1064900,5
779,1.0 RXL AMT,25978.0,PETROL,RENAULT,KWID,BHILWARA,418606,3
144,1.6 CRDI SX OPTION,136375.0,DIESEL,HYUNDAI,CRETA,NAGPUR,1024625,7
681,VW POLO GT 1 2 TSI,18972.0,PETROL,VOLKSWAGEN,POLO GT,COIMBATORE,726779,9
320,W7,,DIESEL,MAHINDRA,XUV500,BANGALORE,1186016,6
273,MAGNA OPTIONAL 1.4 CRDI,,DIESEL,HYUNDAI,I20 ,RAJKOT,408139,11
480,ZXI,11444.0,PETROL,MARUTI,CELERIO,THANE,688426,3
653,VXI,67650.0,PETROL,MARUTI,WAGON R,DELHI,321141,8
96,VXI,12455.0,PETROL,MARUTI,WAGON R,AGRA,593400,3
662,CNG LXI,,PETROL + CNG,MARUTI,WAGON R,DELHI,386597,8
177,ZDI PLUS,76928.0,DIESEL,MARUTI,VITARA BREZZA,GURGAUR,798862,6
347,SX,85.0,PETROL,HYUNDAI,VERNA,SULTANPUR,1330000,1
471,1.5 E MT,110548.0,DIESEL,HONDA,CITY,VIJAYAPURA,502958,10
298,SIGMA,,PETROL,MARUTI,IGNIS,DELHI,360425,6
754,ASTA 1.4 CRDI,121917.0,DIESEL,HYUNDAI,I20,JAMNAGAR,496200,9
603,RXZ,17339.0,PETROL,RENAULT,TRIBER,PUNE,716697,2
370,1.6 VTVT,,PETROL,HYUNDAI,VERNA ,RAJKOT,434348,2022
6,ERA,,PETROL,HYUNDAI,EON,BANGALORE,261101,9
423,LXI,52042.0,PETROL,MARUTI,SWIFT,FARIDABAD,536400,4
661,ZETA,30000.0,PETROL,MARUTI,BALENO,UDAIPUR,713079,3
530,S5,35424.0,DIESEL,MAHINDRA,SCORPIO,DELHI,1349272,3
633,5 SEATER AC,70705.0,PETROL + CNG,MARUTI,EECO,GHAZIABAD,322098,8
290,1 5D TIT P MT BSIV,87645.0,DIESEL,FORD,ECOSPORT,SALEM,782100,7
268,RAPID ELEGANCE PLUS 1.5 TDI,,DIESEL,SKODA,RAPID ELEGANCE PLUS 1.5 TDI,WARANGAL,598702,9
609,VDI,43630.0,DIESEL,MARUTI,VITARA BREZZA,FARIDABAD,764993,5
651,VXI AT,60337.0,PETROL,MARUTI,ERTIGA,MUMBAI,1093414,3
566,LXI,46318.0,PETROL + CNG,MARUTI,ALTO,GHAZIABAD,448700,3
529,ZETA,33980.0,PETROL,MARUTI,BALENO,JAIPUR,683754,6
720,ASTA 1.4 CRDI,92547.0,DIESEL,HYUNDAI,ELITE I20,JALGAON,547300,8
13,VDI,91494.0,DIESEL,MARUTI,ERTIGA,BHAYANDER,809300,7
304,LDI,192066.0,DIESEL,MARUTI,RITZ,CUDDALORE,394800,8
47,ZDI PLUS,128154.0,DIESEL,MARUTI,VITARA BREZZA,GAUTAM BUDDHA NAGAR,763392,7
34,G,58802.0,PETROL,TOYOTA,ETIOS,PUDUCHERRY,456600,10
595,TATA NEXON XZ P,,DIESEL,TATA MOTORS LTD,TATA NEXON XZ P,COIMBATORE,741132,7
162,HYUNDAI  CRETA 1 6 CRDI SX,,DIESEL,HYUNDAI,HYUNDAI  CRETA 1 6 CRDI SX,VILLUPURAM,897750,9
558,RXZ 110 PS,,DIESEL,RENAULT,DUSTER,TIRUVALLUR,616057,11
462,AMAZE 1 5 V MT  I DTEC,,DIESEL,HONDA,HONDA AMAZE,PUDUCHERRY,717644,5
515,1.5 REVOTORQ XE,44571.0,DIESEL,TATA,NEXON,FARIDABAD,790052,3
218,VDI BSIV,100214.0,DIESEL,MARUTI,SWIFT,THANE,423430,9
121,DELTA,46314.0,PETROL,MARUTI,BALENO,BANGALORE,538500,8
600,VXI,,PETROL,MARUTI SUZUKI INDIA LTD,NEW WAGON R,TIRUVALLUR,339132,10
45,1.4 E PLUS,146795.0,DIESEL,HYUNDAI,CRETA,MANUGURU,902500,6
405,GRAND I 10 SPORTZ,,PETROL,HYUNDAI,GRAND I 10 SPORTZ,PONDICHERRY,572273,5
644,SWIFT VDI,,DIESEL,MARUTI SUZUKI INDIA LTD,SWIFT VDI,RAJKOT,323976,12
593,2.5 G E4,,DIESEL,TOYOTA,INNOVA 2.5G,BANGALORE,895476,10
679,VDI,65000.0,DIESEL,MARUTI,ERTIGA,MUMBAI,839410,6
284,VDI,109529.0,DIESEL,MARUTI,SWIFT DZIRE,PATIALA,383836,10
398,VXI 1.2,39688.0,PETROL,MARUTI,DZIRE,DELHI,733205,2
709,XCENT VTVT SX,,PETROL,HYUNDAI,XCENT VTVT SX,HYDERABAD,465505,6
447,VDI,70528.0,DIESEL,MARUTI,VITARA BREZZA,FARIDABAD,800000,5
145,S6 PLUS 7 SEATER,,DIESEL,MAHINDRA,SCORPIO,NORTH EAST DELHI,624232,8
668,INNOVA CRYSTA 2.4 G 8S,,DIESEL,TOYOTA KIRLOSKAR MOTORS LTD,INNOVA CRYSTA 2.4 G 8S,MAHABUBNAGAR,1617660,5
245,LXI,29357.0,PETROL,MARUTI,ALTO,UDAIPUR,400000,5
164,I 20 ACTIVE CRDI SX,,DIESEL,HYUNDAI,I 20 ACTIVE CRDI SX,HANAMKONDA,838491,8
488,RXT,15916.0,PETROL + CNG,RENAULT,KWID,DELHI,412200,5
645,RXT,22431.0,PETROL,RENAULT,TRIBER,NAGPUR,592951,5
15,7 SEATER STD,19605.0,PETROL,MARUTI,EECO,PUNE,434011,6
610,RXT BSIV,,PETROL,RENAULT,KWID,THIRUVALLUR,342655,8
46,1.5 V AT,59606.0,PETROL,HONDA,CITY,PUNE,611492,7
282,HTK PLUS G,63271.0,DIESEL,KIA,SELTOS,PALWAL,1254790,4
704,85PS DIESEL STD,61846.0,PETROL,RENAULT,DUSTER,THANE,526650,11
251,VDI BSIV,,DIESEL,MARUTI SUZUKI INDIA LTD,ERTIGA,TIRUVANNAMALAI,546133,11
523,SHVS VDI,61014.0,DIESEL,MARUTI,ERTIGA,JUNAGADH,790425,7
83,SPORTZ 1.4 CRDI,136674.0,DIESEL,HYUNDAI,ELITE I20,GHAZIABAD,642796,6
539,GO T,,PETROL,NISSAN,DATSUN,KALAWAD,308316,10
470,V W POLO 1 2 MPI HIGHLINE,22274.0,PETROL,VOLKSWAGEN,POLO GT,COIMBATORE,735071,7
506,1.5 DIESEL TITANIUM,75768.0,DIESEL,FORD,ECOSPORT,HOSUR,641768,10
152,W8 OPTION,71367.0,DIESEL,MAHINDRA,XUV300,JAMNAGAR,1222300,5
465,GL F/L,,PETROL,HYUNDAI,SANTRO,GHAZIABAD,205543,10
654,LX D AT 4WD 4S,7195.0,DIESEL,MAHINDRA,THAR,RAJSAMAND,1541900,2
20,ALPHA,44044.0,PETROL,MARUTI,BALENO,GURGAON,686000,6
663,XZ,17215.0,PETROL,TATA,ALTROZ,GHAZIABAD,761196,4
212,2.0 TDI,157161.0,DIESEL,AUDI,Q5,CHENNAI,2007664,11
761,DIESEL XE,79613.0,DIESEL,NISSAN,MICRA,AGRA,377200,10
401,DELTA,28598.0,PETROL,MARUTI,BALENO,GAUTAM BUDDHA NAGAR,676649,3
256,TITANIUM,,DIESEL,FORD,ECOSPORT,BANGALORE,841930,8
606,1.2 KAPPA MT S,28593.0,PETROL,HYUNDAI,VENUE,MUDIGERE,900900,2
711,VXI 1.2 BS IV,,PETROL + CNG,MARUTI,DZIRE ,HAPUR,469595,7
316,VXI,92050.0,PETROL,MARUTI,SWIFT,JAIPUR,414880,9
103,VXI,23739.0,PETROL,MARUTI,VITARA BREZZA,BANGALORE,889600,4
350,VXI,16245.0,PETROL,MARUTI,SWIFT,GHAZIABAD,698600,2
522,ASTA TURBO DCT,24622.0,PETROL,HYUNDAI,I20,PUNE,1106223,3
18,VDI,,DIESEL,MARUTI,SWIFT,PUDUCHERRY,410921,11
235,RXL,26970.0,PETROL,RENAULT,TRIBER,JUNAGADH,673200,3
386,1.2 REVOTRON XZ PLUS,92300.0,PETROL,TATA,TIAGO,FARIDABAD,443578,4
502,1.5 V MT O,,DIESEL,HONDA CARS INDIA LTD,MOBILIO,MYSURU,449417,10
